Section,Sub ID.,i-Top RB1,i-Top RB2,i-Top Name1,i-Top Name2,i-Bot RB1,i-Bot RB2,i-Bot Name1,i-Bot Name2,i-SB Num.,i-SB Space (m),i-SK Num.,m-Top RB1,m-Top RB2,m-Top Name1,m-Top Name2,m-Bot RB1,m-Bot RB2,m-Bot Name1,m-Bot Name2,m-SB Num.,m-SB Space (m),m-SK Num.,j-Top RB1,j-Top RB2,j-Top Name1,j-Top Name2,j-Bot RB1,j-Bot RB2,j-Bot Name1,j-Bot Name2,j-SB Num.,j-SB space (m),j-SK Num.,Stirrups,Skin Bar,dT (m),dB (m)
6,1,3,0,#8,#8,2,0,#8,#8,2,0.14,0,2,0,#8,#8,2,0,#8,#8,2,0.29,0,3,0,#8,#8,2,0,#8,#8,2,0.14,0,#4,,0.065,0.065
6,10,3,2,#8,#8,3,0,#8,#8,2,0.1,0,2,0,#8,#8,3,0,#8,#8,2,0.29,0,3,2,#8,#8,3,0,#8,#8,2,0.1,0,#4,,0.065,0.065
6,11,3,3,#8,#8,3,0,#8,#8,2,0.11,0,2,0,#8,#8,3,0,#8,#8,2,0.29,0,3,3,#8,#8,3,0,#8,#8,2,0.11,0,#4,,0.065,0.065
6,12,3,2,#8,#8,3,1,#8,#8,2,0,0,3,0,#8,#8,3,0,#8,#8,2,0.08,0,3,2,#8,#8,3,2,#8,#8,2,0.06,0,#4,,0.065,0.065
6,2,3,1,#8,#8,3,0,#8,#8,2,0.09,0,2,0,#8,#8,2,0,#8,#8,2,0.2,0,3,1,#8,#8,3,0,#8,#8,2,0.09,0,#4,,0.065,0.065
6,3,3,1,#8,#8,3,0,#8,#8,2,0.08,0,2,0,#8,#8,2,0,#8,#8,2,0.2,0,3,1,#8,#8,3,0,#8,#8,2,0.09,0,#4,,0.065,0.065
6,4,3,3,#8,#8,3,0,#8,#8,2,0.09,0,2,0,#8,#8,3,0,#8,#8,2,0.29,0,3,3,#8,#8,3,0,#8,#8,2,0.09,0,#4,,0.065,0.065
6,5,3,2,#8,#8,3,0,#8,#8,2,0.1,0,2,0,#8,#8,2,0,#8,#8,2,0.29,0,3,2,#8,#8,3,0,#8,#8,2,0.12,0,#4,,0.065,0.065
6,6,3,1,#8,#8,2,0,#8,#8,2,0.14,0,2,0,#8,#8,2,0,#8,#8,2,0.29,0,3,1,#8,#8,2,0,#8,#8,2,0.14,0,#4,,0.065,0.065
6,7,3,1,#8,#8,2,0,#8,#8,2,0.1,0,2,0,#8,#8,2,0,#8,#8,2,0.29,0,3,1,#8,#8,2,0,#8,#8,2,0.1,0,#4,,0.065,0.065
6,8,3,2,#8,#8,3,0,#8,#8,2,0.11,0,2,0,#8,#8,2,0,#8,#8,2,0.29,0,3,2,#8,#8,3,0,#8,#8,2,0.12,0,#4,,0.065,0.065
6,9,3,2,#8,#8,3,0,#8,#8,2,0.11,0,2,0,#8,#8,2,0,#8,#8,2,0.29,0,3,2,#8,#8,3,0,#8,#8,2,0.11,0,#4,,0.065,0.065
